PURE SILICA, ELECTRODE=TUNGSTEN, TIME=35, POLING_VOLTAGE=3700, WAVELENGTH=1.55e-06, EFFECTIVE_DISTANCE=3.1e-05, POLED_LENGTH=0.3, CORE_INDEX=1.45, POLE=MAX, AC_VOLTAGE=1056.0, AC_FREQUENCY=5650, PIEZO_FREQUENCY=113.0
Time(s),Voltage(V)
0.000000000000000000e+00,5.437500000000000666e-02
4.400000000000000224e-06,5.375000000000000611e-02
8.800000000000000449e-06,5.375000000000000611e-02
1.320000000000000067e-05,5.375000000000000611e-02
1.760000000000000090e-05,5.375000000000000611e-02
2.199999999999999943e-05,5.375000000000000611e-02
2.640000000000000135e-05,5.437500000000000666e-02
3.080000000000000326e-05,5.437500000000000666e-02
3.520000000000000180e-05,5.406249999999999944e-02
3.960000000000000033e-05,5.375000000000000611e-02
4.399999999999999886e-05,5.281250000000000527e-02
4.840000000000000416e-05,5.156250000000000416e-02
5.280000000000000269e-05,5.031250000000000305e-02
5.720000000000000122e-05,4.875000000000000167e-02
6.160000000000000653e-05,4.812500000000000111e-02
6.600000000000000506e-05,4.781250000000000777e-02
7.040000000000000359e-05,4.750000000000000056e-02
7.480000000000000212e-05,4.781250000000000777e-02
7.920000000000000065e-05,4.750000000000000056e-02
8.359999999999999918e-05,4.656250000000000666e-02
8.799999999999999771e-05,4.562500000000000583e-02
9.240000000000000979e-05,4.406250000000000444e-02
9.680000000000000833e-05,4.375000000000000416e-02
1.012000000000000069e-04,4.375000000000000416e-02
1.056000000000000054e-04,4.437500000000000472e-02
1.100000000000000039e-04,4.468750000000000500e-02
1.144000000000000024e-04,4.437500000000000472e-02
1.188000000000000010e-04,4.343750000000000389e-02
1.232000000000000131e-04,4.250000000000000305e-02
1.276000000000000116e-04,4.125000000000000194e-02
1.320000000000000101e-04,4.062500000000000139e-02
1.364000000000000087e-04,3.875000000000000666e-02
1.408000000000000072e-04,3.812500000000000611e-02
1.452000000000000057e-04,3.718750000000000527e-02
1.496000000000000042e-04,3.687500000000000500e-02
1.540000000000000028e-04,3.625000000000000444e-02
1.584000000000000013e-04,3.593750000000000416e-02
1.627999999999999998e-04,3.593750000000000416e-02
1.671999999999999984e-04,3.625000000000000444e-02
1.715999999999999969e-04,3.656250000000000472e-02
1.759999999999999954e-04,3.687500000000000500e-02
1.804000000000000211e-04,3.750000000000000555e-02
1.848000000000000196e-04,3.750000000000000555e-02
1.892000000000000181e-04,3.812500000000000611e-02
1.936000000000000167e-04,3.812500000000000611e-02
1.980000000000000152e-04,3.781250000000000583e-02
2.024000000000000137e-04,3.781250000000000583e-02
2.068000000000000122e-04,3.750000000000000555e-02
2.112000000000000108e-04,3.718750000000000527e-02
2.156000000000000093e-04,3.687500000000000500e-02
2.200000000000000078e-04,3.656250000000000472e-02
2.244000000000000064e-04,3.625000000000000444e-02
2.288000000000000049e-04,3.593750000000000416e-02
2.332000000000000034e-04,3.562500000000000389e-02
2.376000000000000020e-04,3.531250000000000361e-02
2.420000000000000005e-04,3.437500000000000278e-02
2.464000000000000261e-04,3.437500000000000278e-02
