Frequency,Normalized Mean Amplitude
250,0.019416666666666672
500,0.018083333333333337
750,0.017916666666666668
1000,0.018708333333333337
1250,0.018333333333333337
1500,0.018333333333333337
1750,0.01879166666666667
2000,0.01891666666666667
2250,0.018583333333333334
2500,0.018291666666666668
2750,0.01820833333333334
3000,0.018541666666666665
3250,0.01816666666666667
3500,0.018083333333333333
3750,0.018416666666666668
4000,0.018500000000000003
4250,0.018125000000000002
4500,0.018083333333333333
4750,0.018000000000000002
5000,0.018083333333333333
5250,0.017875000000000005
5500,0.018083333333333333
5750,0.017916666666666668
6000,0.018125000000000002
