WAVELENGTH=1.55e-06, EFFECTIVE_DISTANCE=3.3e-05, AC_VOLTAGE=1200, POLING_LENGTH=0.3, CORE_INDEX=1.52
Time(s),Voltage(V)
-2.500000000000000139e-02,5.156249999999999722e-02
-2.497500000000000067e-02,5.156249999999999722e-02
-2.494999999999999996e-02,5.187500000000000444e-02
-2.492500000000000271e-02,5.156249999999999722e-02
-2.490000000000000199e-02,5.218749999999999778e-02
-2.487500000000000128e-02,5.187500000000000444e-02
-2.485000000000000056e-02,5.093749999999999667e-02
-2.482499999999999984e-02,5.156249999999999722e-02
-2.480000000000000260e-02,5.156249999999999722e-02
-2.477500000000000188e-02,5.125000000000000389e-02
-2.475000000000000117e-02,5.156249999999999722e-02
-2.472500000000000045e-02,5.156249999999999722e-02
-2.469999999999999973e-02,5.062500000000000333e-02
-2.467500000000000249e-02,5.187500000000000444e-02
-2.465000000000000177e-02,5.093749999999999667e-02
-2.462500000000000105e-02,5.062500000000000333e-02
-2.460000000000000034e-02,5.125000000000000389e-02
-2.457499999999999962e-02,5.187500000000000444e-02
-2.455000000000000238e-02,5.125000000000000389e-02
-2.452500000000000166e-02,5.156249999999999722e-02
-2.450000000000000094e-02,5.187500000000000444e-02
-2.447500000000000023e-02,5.187500000000000444e-02
-2.445000000000000298e-02,5.125000000000000389e-02
-2.442500000000000226e-02,5.281249999999999833e-02
-2.440000000000000155e-02,5.156249999999999722e-02
-2.437500000000000083e-02,5.156249999999999722e-02
-2.435000000000000012e-02,5.187500000000000444e-02
-2.432500000000000287e-02,5.187500000000000444e-02
-2.430000000000000215e-02,5.125000000000000389e-02
-2.427500000000000144e-02,5.125000000000000389e-02
-2.425000000000000072e-02,5.218749999999999778e-02
-2.422500000000000001e-02,5.218749999999999778e-02
-2.420000000000000276e-02,5.156249999999999722e-02
-2.417500000000000204e-02,5.156249999999999722e-02
-2.415000000000000133e-02,5.125000000000000389e-02
-2.412500000000000061e-02,5.125000000000000389e-02
-2.409999999999999989e-02,5.156249999999999722e-02
-2.407500000000000265e-02,5.093749999999999667e-02
-2.405000000000000193e-02,5.218749999999999778e-02
-2.402500000000000122e-02,5.156249999999999722e-02
-2.400000000000000050e-02,5.093749999999999667e-02
-2.397499999999999978e-02,5.187500000000000444e-02
-2.395000000000000254e-02,5.218749999999999778e-02
-2.392500000000000182e-02,5.249999999999999806e-02
-2.390000000000000110e-02,5.187500000000000444e-02
-2.387500000000000039e-02,5.125000000000000389e-02
-2.385000000000000314e-02,5.187500000000000444e-02
-2.382500000000000243e-02,5.187500000000000444e-02
-2.380000000000000171e-02,5.187500000000000444e-02
-2.377500000000000099e-02,5.281249999999999833e-02
-2.375000000000000028e-02,5.249999999999999806e-02
-2.372500000000000303e-02,5.062500000000000333e-02
-2.370000000000000231e-02,5.031249999999999611e-02
-2.367500000000000160e-02,5.187500000000000444e-02
-2.365000000000000088e-02,5.125000000000000389e-02
-2.362500000000000017e-02,5.187500000000000444e-02
-2.360000000000000292e-02,5.031249999999999611e-02
-2.357500000000000220e-02,5.249999999999999806e-02
-2.355000000000000149e-02,5.125000000000000389e-02
-2.352500000000000077e-02,5.187500000000000444e-02
-2.350000000000000006e-02,5.218749999999999778e-02
-2.347500000000000281e-02,5.281249999999999833e-02
-2.345000000000000209e-02,5.187500000000000444e-02
-2.342500000000000138e-02,5.249999999999999806e-02
-2.340000000000000066e-02,5.187500000000000444e-02
-2.337499999999999994e-02,5.187500000000000444e-02
-2.335000000000000270e-02,5.187500000000000444e-02
-2.332500000000000198e-02,5.249999999999999806e-02
-2.330000000000000127e-02,5.187500000000000444e-02
-2.327500000000000055e-02,5.125000000000000389e-02
-2.324999999999999983e-02,5.218749999999999778e-02
-2.322500000000000259e-02,5.093749999999999667e-02
-2.320000000000000187e-02,5.218749999999999778e-02
-2.317500000000000115e-02,5.249999999999999806e-02
-2.315000000000000044e-02,5.125000000000000389e-02
-2.312499999999999972e-02,5.187500000000000444e-02
-2.310000000000000248e-02,5.125000000000000389e-02
-2.307500000000000176e-02,5.125000000000000389e-02
-2.305000000000000104e-02,5.249999999999999806e-02
-2.302500000000000033e-02,5.218749999999999778e-02
-2.299999999999999961e-02,5.125000000000000389e-02
-2.297500000000000236e-02,5.156249999999999722e-02
-2.295000000000000165e-02,5.093749999999999667e-02
-2.292500000000000093e-02,5.187500000000000444e-02
-2.290000000000000022e-02,5.187500000000000444e-02
-2.287499999999999950e-02,5.156249999999999722e-02
-2.285000000000000225e-02,5.218749999999999778e-02
-2.282500000000000154e-02,5.187500000000000444e-02
-2.280000000000000082e-02,5.156249999999999722e-02
-2.277500000000000011e-02,5.218749999999999778e-02
-2.274999999999999939e-02,5.218749999999999778e-02
-2.272500000000000214e-02,5.093749999999999667e-02
-2.270000000000000143e-02,5.125000000000000389e-02
-2.267500000000000071e-02,5.156249999999999722e-02
-2.264999999999999999e-02,5.156249999999999722e-02
-2.262500000000000275e-02,5.187500000000000444e-02
-2.260000000000000203e-02,5.156249999999999722e-02
-2.257500000000000132e-02,5.093749999999999667e-02
-2.255000000000000060e-02,5.156249999999999722e-02
-2.252499999999999988e-02,5.125000000000000389e-02
-2.250000000000000264e-02,5.125000000000000389e-02
-2.247500000000000192e-02,5.187500000000000444e-02
-2.245000000000000120e-02,5.156249999999999722e-02
-2.242500000000000049e-02,5.156249999999999722e-02
-2.239999999999999977e-02,5.187500000000000444e-02
-2.237500000000000253e-02,5.125000000000000389e-02
-2.235000000000000181e-02,5.031249999999999611e-02
-2.232500000000000109e-02,5.187500000000000444e-02
-2.230000000000000038e-02,5.156249999999999722e-02
-2.227500000000000313e-02,5.062500000000000333e-02
-2.225000000000000241e-02,5.156249999999999722e-02
-2.222500000000000170e-02,5.156249999999999722e-02
-2.220000000000000098e-02,5.187500000000000444e-02
-2.217500000000000027e-02,5.031249999999999611e-02
-2.215000000000000302e-02,5.093749999999999667e-02
-2.212500000000000230e-02,5.031249999999999611e-02
-2.210000000000000159e-02,5.249999999999999806e-02
-2.207500000000000087e-02,5.125000000000000389e-02
-2.205000000000000016e-02,5.062500000000000333e-02
-2.202500000000000291e-02,5.031249999999999611e-02
-2.200000000000000219e-02,5.000000000000000278e-02
-2.197500000000000148e-02,5.187500000000000444e-02
-2.195000000000000076e-02,5.031249999999999611e-02
-2.192500000000000004e-02,5.187500000000000444e-02
-2.190000000000000280e-02,5.125000000000000389e-02
-2.187500000000000208e-02,5.031249999999999611e-02
-2.185000000000000137e-02,5.125000000000000389e-02
-2.182500000000000065e-02,5.218749999999999778e-02
-2.179999999999999993e-02,5.031249999999999611e-02
-2.177500000000000269e-02,5.031249999999999611e-02
-2.175000000000000197e-02,5.125000000000000389e-02
-2.172500000000000125e-02,5.062500000000000333e-02
-2.170000000000000054e-02,5.031249999999999611e-02
-2.167499999999999982e-02,5.156249999999999722e-02
-2.165000000000000258e-02,5.093749999999999667e-02
-2.162500000000000186e-02,5.125000000000000389e-02
-2.160000000000000114e-02,5.156249999999999722e-02
-2.157500000000000043e-02,5.125000000000000389e-02
-2.154999999999999971e-02,5.031249999999999611e-02
-2.152500000000000246e-02,5.093749999999999667e-02
-2.150000000000000175e-02,5.156249999999999722e-02
-2.147500000000000103e-02,5.156249999999999722e-02
-2.145000000000000032e-02,5.000000000000000278e-02
-2.142499999999999960e-02,5.093749999999999667e-02
-2.140000000000000235e-02,5.125000000000000389e-02
-2.137500000000000164e-02,5.125000000000000389e-02
-2.135000000000000092e-02,5.156249999999999722e-02
-2.132500000000000021e-02,5.062500000000000333e-02
-2.129999999999999949e-02,5.062500000000000333e-02
-2.127500000000000224e-02,5.031249999999999611e-02
-2.125000000000000153e-02,5.125000000000000389e-02
-2.122500000000000081e-02,5.218749999999999778e-02
-2.120000000000000009e-02,4.968749999999999556e-02
-2.117499999999999938e-02,5.093749999999999667e-02
-2.115000000000000213e-02,4.968749999999999556e-02
-2.112500000000000142e-02,4.968749999999999556e-02
-2.110000000000000070e-02,5.125000000000000389e-02
-2.107499999999999998e-02,5.031249999999999611e-02
-2.104999999999999927e-02,5.125000000000000389e-02
-2.102500000000000202e-02,5.031249999999999611e-02
-2.100000000000000130e-02,5.187500000000000444e-02
-2.097500000000000059e-02,5.000000000000000278e-02
-2.095000000000000334e-02,5.000000000000000278e-02
-2.092499999999999916e-02,5.062500000000000333e-02
-2.090000000000000191e-02,5.062500000000000333e-02
-2.087500000000000119e-02,4.968749999999999556e-02
-2.085000000000000048e-02,5.093749999999999667e-02
-2.082500000000000323e-02,4.968749999999999556e-02
-2.079999999999999905e-02,5.000000000000000278e-02
-2.077500000000000180e-02,5.093749999999999667e-02
-2.075000000000000108e-02,5.062500000000000333e-02
-2.072500000000000037e-02,4.968749999999999556e-02
-2.070000000000000312e-02,5.031249999999999611e-02
-2.067500000000000240e-02,5.000000000000000278e-02
-2.065000000000000169e-02,5.062500000000000333e-02
-2.062500000000000097e-02,4.968749999999999556e-02
-2.060000000000000026e-02,5.125000000000000389e-02
-2.057500000000000301e-02,4.906249999999999500e-02
-2.055000000000000229e-02,5.093749999999999667e-02
-2.052500000000000158e-02,4.937500000000000222e-02
-2.050000000000000086e-02,5.125000000000000389e-02
-2.047500000000000014e-02,4.937500000000000222e-02
-2.045000000000000290e-02,4.937500000000000222e-02
-2.042500000000000218e-02,4.968749999999999556e-02
-2.040000000000000147e-02,5.156249999999999722e-02
-2.037500000000000075e-02,5.000000000000000278e-02
-2.035000000000000003e-02,5.031249999999999611e-02
-2.032500000000000279e-02,5.093749999999999667e-02
-2.030000000000000207e-02,4.968749999999999556e-02
-2.027500000000000135e-02,5.031249999999999611e-02
-2.025000000000000064e-02,5.093749999999999667e-02
-2.022499999999999992e-02,4.875000000000000167e-02
-2.020000000000000268e-02,5.062500000000000333e-02
-2.017500000000000196e-02,4.937500000000000222e-02
-2.015000000000000124e-02,5.093749999999999667e-02
-2.012500000000000053e-02,4.968749999999999556e-02
-2.009999999999999981e-02,4.937500000000000222e-02
-2.007500000000000256e-02,4.968749999999999556e-02
-2.005000000000000185e-02,4.968749999999999556e-02
