WAVELENGTH=1.55e-06, EFFECTIVE_DISTANCE=3.3e-05, AC_VOLTAGE=1200, POLING_LENGTH=0.3, CORE_INDEX=1.52
Time(s),Voltage(V)
-5.000000000000000278e-02,3.406249999999999556e-02
-4.995000000000000134e-02,3.343750000000000194e-02
-4.989999999999999991e-02,3.343750000000000194e-02
-4.985000000000000542e-02,3.312500000000000167e-02
-4.980000000000000399e-02,3.250000000000000111e-02
-4.975000000000000255e-02,3.281250000000000139e-02
-4.970000000000000112e-02,3.156250000000000028e-02
-4.964999999999999969e-02,3.218750000000000083e-02
-4.960000000000000520e-02,2.562499999999999847e-02
-4.955000000000000376e-02,3.125000000000000000e-02
-4.950000000000000233e-02,3.687499999999999806e-02
-4.945000000000000090e-02,3.468749999999999611e-02
-4.939999999999999947e-02,3.624999999999999750e-02
-4.935000000000000497e-02,4.031250000000000111e-02
-4.930000000000000354e-02,4.406249999999999750e-02
-4.925000000000000211e-02,4.843749999999999445e-02
-4.920000000000000068e-02,4.875000000000000167e-02
-4.914999999999999925e-02,4.750000000000000056e-02
-4.910000000000000475e-02,4.968749999999999556e-02
-4.905000000000000332e-02,5.000000000000000278e-02
-4.900000000000000189e-02,4.968749999999999556e-02
-4.895000000000000046e-02,5.000000000000000278e-02
-4.890000000000000596e-02,4.937500000000000222e-02
-4.885000000000000453e-02,4.937500000000000222e-02
-4.880000000000000310e-02,4.906249999999999500e-02
-4.875000000000000167e-02,5.031249999999999611e-02
-4.870000000000000023e-02,4.968749999999999556e-02
-4.865000000000000574e-02,5.125000000000000389e-02
-4.860000000000000431e-02,5.062500000000000333e-02
-4.855000000000000288e-02,4.937500000000000222e-02
-4.850000000000000144e-02,5.062500000000000333e-02
-4.845000000000000001e-02,5.031249999999999611e-02
-4.840000000000000552e-02,4.968749999999999556e-02
-4.835000000000000409e-02,5.062500000000000333e-02
-4.830000000000000265e-02,4.875000000000000167e-02
-4.825000000000000122e-02,4.718750000000000028e-02
-4.819999999999999979e-02,4.656249999999999972e-02
-4.815000000000000530e-02,4.531249999999999861e-02
-4.810000000000000386e-02,4.499999999999999833e-02
-4.805000000000000243e-02,4.750000000000000056e-02
-4.800000000000000100e-02,4.656249999999999972e-02
-4.794999999999999957e-02,4.656249999999999972e-02
-4.790000000000000507e-02,4.750000000000000056e-02
-4.785000000000000364e-02,4.687500000000000000e-02
-4.780000000000000221e-02,4.812500000000000111e-02
-4.775000000000000078e-02,4.781250000000000083e-02
-4.770000000000000628e-02,4.718750000000000028e-02
-4.765000000000000485e-02,4.656249999999999972e-02
-4.760000000000000342e-02,4.750000000000000056e-02
-4.755000000000000199e-02,4.937500000000000222e-02
-4.750000000000000056e-02,4.906249999999999500e-02
-4.745000000000000606e-02,4.968749999999999556e-02
-4.740000000000000463e-02,4.968749999999999556e-02
-4.735000000000000320e-02,5.062500000000000333e-02
-4.730000000000000177e-02,5.156249999999999722e-02
-4.725000000000000033e-02,5.031249999999999611e-02
-4.720000000000000584e-02,5.031249999999999611e-02
-4.715000000000000441e-02,4.968749999999999556e-02
-4.710000000000000298e-02,4.968749999999999556e-02
-4.705000000000000154e-02,4.906249999999999500e-02
-4.700000000000000011e-02,5.000000000000000278e-02
-4.695000000000000562e-02,4.968749999999999556e-02
-4.690000000000000419e-02,4.937500000000000222e-02
-4.685000000000000275e-02,4.906249999999999500e-02
-4.680000000000000132e-02,4.812500000000000111e-02
-4.674999999999999989e-02,4.937500000000000222e-02
-4.670000000000000540e-02,5.031249999999999611e-02
-4.665000000000000396e-02,4.812500000000000111e-02
-4.660000000000000253e-02,4.968749999999999556e-02
-4.655000000000000110e-02,5.093749999999999667e-02
-4.649999999999999967e-02,5.031249999999999611e-02
-4.645000000000000517e-02,4.968749999999999556e-02
-4.640000000000000374e-02,4.968749999999999556e-02
-4.635000000000000231e-02,4.968749999999999556e-02
-4.630000000000000088e-02,4.906249999999999500e-02
-4.624999999999999944e-02,4.875000000000000167e-02
-4.620000000000000495e-02,4.781250000000000083e-02
-4.615000000000000352e-02,4.937500000000000222e-02
-4.610000000000000209e-02,4.843749999999999445e-02
-4.605000000000000066e-02,4.906249999999999500e-02
-4.599999999999999922e-02,5.000000000000000278e-02
-4.595000000000000473e-02,4.843749999999999445e-02
-4.590000000000000330e-02,4.843749999999999445e-02
-4.585000000000000187e-02,4.781250000000000083e-02
-4.580000000000000043e-02,4.968749999999999556e-02
-4.574999999999999900e-02,4.906249999999999500e-02
-4.570000000000000451e-02,4.968749999999999556e-02
-4.565000000000000308e-02,4.875000000000000167e-02
-4.560000000000000164e-02,4.781250000000000083e-02
-4.555000000000000021e-02,4.750000000000000056e-02
-4.549999999999999878e-02,4.968749999999999556e-02
-4.545000000000000429e-02,4.937500000000000222e-02
-4.540000000000000285e-02,5.031249999999999611e-02
-4.535000000000000142e-02,4.906249999999999500e-02
-4.529999999999999999e-02,4.968749999999999556e-02
-4.525000000000000550e-02,4.968749999999999556e-02
-4.520000000000000406e-02,4.781250000000000083e-02
-4.515000000000000263e-02,4.906249999999999500e-02
-4.510000000000000120e-02,4.968749999999999556e-02
-4.504999999999999977e-02,5.000000000000000278e-02
-4.500000000000000527e-02,5.031249999999999611e-02
-4.495000000000000384e-02,5.000000000000000278e-02
-4.490000000000000241e-02,5.000000000000000278e-02
