ELECTRODE=TUNGSTEN, TIME=50, POLING_VOLTAGE=4500, WAVELENGTH=1.55e-06, EFFECTIVE_DISTANCE=4.11e-05, POLED_LENGTH=0.3, CORE_INDEX=1.45, POLE=MAX, AC_VOLTAGE=475, AC_FREQUENCY=500, PIEZO_FREQUENCY=10.0
Time(s),Voltage(V)
0.000000000000000000e+00,6.247199999999999975e-02
5.000000000000000240e-05,8.122799999999999465e-02
1.000000000000000048e-04,9.373199999999999588e-02
1.500000000000000140e-04,9.685799999999999965e-02
2.000000000000000096e-04,1.124880000000000047e-01
2.500000000000000052e-04,1.421850000000000058e-01
3.000000000000000279e-04,1.515630000000000033e-01
3.499999999999999964e-04,1.359329999999999983e-01
4.000000000000000192e-04,1.203029999999999933e-01
4.500000000000000419e-04,1.156139999999999946e-01
5.000000000000000104e-04,1.015469999999999984e-01
5.500000000000000331e-04,9.529499999999999083e-02
6.000000000000000559e-04,9.998399999999998955e-02
6.500000000000000786e-04,9.842099999999999460e-02
6.999999999999999929e-04,1.093619999999999870e-01
7.500000000000000156e-04,1.140509999999999857e-01
8.000000000000000383e-04,1.249919999999999920e-01
8.500000000000000611e-04,1.374960000000000071e-01
9.000000000000000838e-04,1.468740000000000046e-01
9.499999999999999981e-04,1.625039999999999818e-01
1.000000000000000021e-03,1.687559999999999893e-01
1.050000000000000152e-03,1.734449999999999881e-01
1.100000000000000066e-03,1.828229999999999855e-01
1.149999999999999981e-03,1.922009999999999830e-01
1.200000000000000112e-03,2.000159999999999993e-01
1.250000000000000026e-03,2.031419999999999892e-01
1.300000000000000157e-03,2.078309999999999880e-01
1.350000000000000071e-03,2.093939999999999968e-01
1.399999999999999986e-03,2.109570000000000056e-01
1.450000000000000117e-03,2.109570000000000056e-01
1.500000000000000031e-03,2.125199999999999867e-01
1.550000000000000162e-03,2.140829999999999955e-01
1.600000000000000077e-03,2.125199999999999867e-01
1.649999999999999991e-03,2.140829999999999955e-01
1.700000000000000122e-03,2.140829999999999955e-01
1.750000000000000036e-03,2.125199999999999867e-01
1.800000000000000168e-03,2.093939999999999968e-01
1.850000000000000082e-03,2.062680000000000069e-01
1.899999999999999996e-03,2.000159999999999993e-01
1.950000000000000127e-03,1.922009999999999830e-01
2.000000000000000042e-03,1.843859999999999943e-01
2.050000000000000173e-03,1.718819999999999792e-01
2.100000000000000304e-03,1.656299999999999994e-01
2.150000000000000001e-03,1.578149999999999831e-01
2.200000000000000133e-03,1.437479999999999869e-01
2.250000000000000264e-03,1.343699999999999894e-01
2.299999999999999961e-03,1.218660000000000021e-01
2.350000000000000092e-03,1.171770000000000034e-01
2.400000000000000223e-03,1.093619999999999870e-01
2.449999999999999921e-03,1.015469999999999984e-01
2.500000000000000052e-03,9.842099999999999460e-02
2.550000000000000183e-03,9.529499999999999083e-02
2.600000000000000314e-03,9.842099999999999460e-02
2.650000000000000012e-03,1.031099999999999933e-01
2.700000000000000143e-03,1.124880000000000047e-01
2.750000000000000274e-03,1.203029999999999933e-01
2.799999999999999972e-03,1.359329999999999983e-01
2.850000000000000103e-03,1.437479999999999869e-01
2.900000000000000234e-03,1.593779999999999919e-01
2.949999999999999931e-03,1.687559999999999893e-01
3.000000000000000062e-03,1.812599999999999767e-01
3.050000000000000194e-03,1.875119999999999842e-01
3.100000000000000325e-03,1.953270000000000006e-01
3.150000000000000022e-03,2.000159999999999993e-01
3.200000000000000153e-03,2.062680000000000069e-01
3.250000000000000284e-03,2.078309999999999880e-01
3.299999999999999982e-03,2.093939999999999968e-01
3.350000000000000113e-03,2.078309999999999880e-01
3.400000000000000244e-03,2.078309999999999880e-01
3.450000000000000375e-03,2.078309999999999880e-01
3.500000000000000073e-03,2.109570000000000056e-01
3.550000000000000204e-03,2.109570000000000056e-01
3.600000000000000335e-03,2.109570000000000056e-01
3.650000000000000033e-03,2.125199999999999867e-01
3.700000000000000164e-03,2.125199999999999867e-01
3.750000000000000295e-03,2.140829999999999955e-01
3.799999999999999992e-03,2.140829999999999955e-01
3.850000000000000124e-03,2.093939999999999968e-01
3.900000000000000255e-03,2.062680000000000069e-01
3.950000000000000386e-03,2.000159999999999993e-01
4.000000000000000083e-03,1.937639999999999918e-01
4.049999999999999781e-03,1.859490000000000032e-01
4.100000000000000346e-03,1.765709999999999780e-01
