ELECTRODE=TUNGSTEN, TIME=50, POLING_VOLTAGE=4500, WAVELENGTH=1.55e-06, EFFECTIVE_DISTANCE=4.11e-05, POLED_LENGTH=0.3, CORE_INDEX=1.45, POLE=MAX, AC_VOLTAGE=462.5, AC_FREQUENCY=2500, PIEZO_FREQUENCY=50.0
Time(s),Voltage(V)
0.000000000000000000e+00,1.281180000000000097e-01
1.000000000000000082e-05,1.296809999999999907e-01
2.000000000000000164e-05,1.312439999999999996e-01
3.000000000000000415e-05,1.328070000000000084e-01
4.000000000000000327e-05,1.374960000000000071e-01
5.000000000000000240e-05,1.421850000000000058e-01
6.000000000000000830e-05,1.453109999999999957e-01
7.000000000000000742e-05,1.421850000000000058e-01
8.000000000000000654e-05,1.359329999999999983e-01
9.000000000000000567e-05,1.312439999999999996e-01
1.000000000000000048e-04,1.312439999999999996e-01
1.100000000000000039e-04,1.281180000000000097e-01
1.200000000000000166e-04,1.265550000000000008e-01
1.300000000000000157e-04,1.312439999999999996e-01
1.400000000000000148e-04,1.374960000000000071e-01
1.500000000000000140e-04,1.406219999999999970e-01
1.600000000000000131e-04,1.437479999999999869e-01
1.700000000000000122e-04,1.421850000000000058e-01
1.800000000000000113e-04,1.390589999999999882e-01
1.900000000000000105e-04,1.390589999999999882e-01
2.000000000000000096e-04,1.421850000000000058e-01
2.100000000000000087e-04,1.437479999999999869e-01
2.200000000000000078e-04,1.406219999999999970e-01
2.300000000000000070e-04,1.374960000000000071e-01
2.400000000000000332e-04,1.343699999999999894e-01
2.500000000000000052e-04,1.343699999999999894e-01
2.600000000000000314e-04,1.390589999999999882e-01
2.700000000000000035e-04,1.468740000000000046e-01
2.800000000000000297e-04,1.499999999999999944e-01
2.900000000000000017e-04,1.499999999999999944e-01
3.000000000000000279e-04,1.453109999999999957e-01
3.099999999999999999e-04,1.468740000000000046e-01
3.200000000000000262e-04,1.484369999999999856e-01
3.300000000000000524e-04,1.546889999999999932e-01
3.400000000000000244e-04,1.562520000000000020e-01
3.500000000000000507e-04,1.562520000000000020e-01
3.600000000000000227e-04,1.531259999999999843e-01
3.700000000000000489e-04,1.531259999999999843e-01
3.800000000000000209e-04,1.531259999999999843e-01
3.900000000000000471e-04,1.578149999999999831e-01
4.000000000000000192e-04,1.578149999999999831e-01
4.100000000000000454e-04,1.593779999999999919e-01
4.200000000000000174e-04,1.640669999999999906e-01
4.300000000000000436e-04,1.671929999999999805e-01
4.400000000000000157e-04,1.703189999999999982e-01
4.500000000000000419e-04,1.734449999999999881e-01
4.600000000000000139e-04,1.750079999999999969e-01
4.700000000000000401e-04,1.781339999999999868e-01
4.800000000000000664e-04,1.812599999999999767e-01
4.900000000000000926e-04,1.828229999999999855e-01
5.000000000000000104e-04,1.843859999999999943e-01
5.100000000000000366e-04,1.859490000000000032e-01
5.200000000000000629e-04,1.890749999999999931e-01
5.300000000000000891e-04,1.890749999999999931e-01
5.400000000000000069e-04,1.890749999999999931e-01
5.500000000000000331e-04,1.875119999999999842e-01
5.600000000000000594e-04,1.859490000000000032e-01
5.700000000000000856e-04,1.843859999999999943e-01
5.800000000000000034e-04,1.843859999999999943e-01
5.900000000000000296e-04,1.875119999999999842e-01
6.000000000000000559e-04,1.875119999999999842e-01
6.100000000000000821e-04,1.859490000000000032e-01
6.199999999999999999e-04,1.875119999999999842e-01
6.300000000000000261e-04,1.890749999999999931e-01
6.400000000000000524e-04,1.906380000000000019e-01
6.500000000000000786e-04,1.922009999999999830e-01
6.600000000000001048e-04,1.937639999999999918e-01
6.700000000000000226e-04,1.937639999999999918e-01
6.800000000000000488e-04,1.953270000000000006e-01
6.900000000000000751e-04,1.953270000000000006e-01
7.000000000000001013e-04,1.953270000000000006e-01
7.100000000000000191e-04,1.953270000000000006e-01
7.200000000000000453e-04,1.953270000000000006e-01
7.300000000000000716e-04,1.968900000000000095e-01
7.400000000000000978e-04,1.953270000000000006e-01
7.500000000000000156e-04,1.922009999999999830e-01
7.600000000000000418e-04,1.937639999999999918e-01
7.700000000000000681e-04,1.906380000000000019e-01
7.800000000000000943e-04,1.906380000000000019e-01
7.900000000000000121e-04,1.906380000000000019e-01
8.000000000000000383e-04,1.906380000000000019e-01
8.100000000000000646e-04,1.890749999999999931e-01
8.200000000000000908e-04,1.906380000000000019e-01
8.300000000000001170e-04,1.922009999999999830e-01
8.400000000000000348e-04,1.937639999999999918e-01
8.500000000000000611e-04,1.953270000000000006e-01
8.600000000000000873e-04,1.968900000000000095e-01
8.700000000000001135e-04,1.968900000000000095e-01
8.800000000000000313e-04,1.984529999999999905e-01
8.900000000000000576e-04,1.937639999999999918e-01
9.000000000000000838e-04,1.922009999999999830e-01
9.100000000000001100e-04,1.922009999999999830e-01
9.200000000000000278e-04,1.906380000000000019e-01
9.300000000000000541e-04,1.906380000000000019e-01
9.400000000000000803e-04,1.890749999999999931e-01
9.500000000000001065e-04,1.875119999999999842e-01
9.600000000000001327e-04,1.859490000000000032e-01
9.700000000000000505e-04,1.843859999999999943e-01
9.800000000000001852e-04,1.859490000000000032e-01
9.899999999999999946e-04,1.843859999999999943e-01
1.000000000000000021e-03,1.859490000000000032e-01
1.010000000000000047e-03,1.859490000000000032e-01
1.020000000000000073e-03,1.890749999999999931e-01
1.030000000000000100e-03,1.906380000000000019e-01
1.040000000000000126e-03,1.906380000000000019e-01
1.050000000000000152e-03,1.906380000000000019e-01
1.060000000000000178e-03,1.953270000000000006e-01
1.069999999999999988e-03,1.968900000000000095e-01
1.080000000000000014e-03,1.968900000000000095e-01
1.090000000000000040e-03,2.000159999999999993e-01
1.100000000000000066e-03,2.000159999999999993e-01
1.110000000000000092e-03,2.000159999999999993e-01
1.120000000000000119e-03,2.015790000000000082e-01
1.130000000000000145e-03,2.015790000000000082e-01
1.140000000000000171e-03,2.000159999999999993e-01
1.150000000000000197e-03,2.015790000000000082e-01
1.160000000000000007e-03,2.015790000000000082e-01
1.170000000000000033e-03,2.000159999999999993e-01
1.180000000000000059e-03,2.015790000000000082e-01
1.190000000000000085e-03,2.000159999999999993e-01
1.200000000000000112e-03,2.015790000000000082e-01
1.210000000000000138e-03,2.015790000000000082e-01
1.220000000000000164e-03,2.015790000000000082e-01
1.230000000000000190e-03,2.031419999999999892e-01
1.240000000000000000e-03,2.031419999999999892e-01
1.250000000000000026e-03,2.047049999999999981e-01
1.260000000000000052e-03,2.047049999999999981e-01
1.270000000000000078e-03,2.062680000000000069e-01
