ELECTRODE=TUNGSTEN, TIME=50, POLING_VOLTAGE=4500, WAVELENGTH=1.55e-06, EFFECTIVE_DISTANCE=4.11e-05, POLED_LENGTH=0.3, CORE_INDEX=1.45, POLE=MAX, AC_VOLTAGE=446.9, AC_FREQUENCY=4000, PIEZO_FREQUENCY=80.0
Time(s),Voltage(V)
8.000000000000000654e-05,6.247199999999999975e-02
8.620000000000000817e-05,6.090900000000000480e-02
9.240000000000000979e-05,6.247199999999999975e-02
9.860000000000001142e-05,6.872399999999999343e-02
1.047999999999999995e-04,7.497600000000000098e-02
1.110000000000000147e-04,7.653899999999999593e-02
1.172000000000000027e-04,7.653899999999999593e-02
1.234000000000000179e-04,7.966499999999999970e-02
1.296000000000000060e-04,8.122799999999999465e-02
1.357999999999999941e-04,8.435399999999999843e-02
1.420000000000000092e-04,8.748000000000000220e-02
1.482000000000000244e-04,9.373199999999999588e-02
1.544000000000000125e-04,9.685799999999999965e-02
1.606000000000000006e-04,1.015469999999999984e-01
1.667999999999999886e-04,1.046729999999999883e-01
1.730000000000000038e-04,1.109249999999999958e-01
1.792000000000000190e-04,1.156139999999999946e-01
1.854000000000000071e-04,1.171770000000000034e-01
1.915999999999999951e-04,1.234289999999999971e-01
1.978000000000000103e-04,1.249919999999999920e-01
2.040000000000000255e-04,1.249919999999999920e-01
2.102000000000000136e-04,1.265550000000000008e-01
2.164000000000000016e-04,1.296809999999999907e-01
2.225999999999999897e-04,1.312439999999999996e-01
2.287999999999999778e-04,1.343699999999999894e-01
2.350000000000000201e-04,1.374960000000000071e-01
2.412000000000000081e-04,1.406219999999999970e-01
2.473999999999999962e-04,1.421850000000000058e-01
2.535999999999999843e-04,1.421850000000000058e-01
2.598000000000000266e-04,1.421850000000000058e-01
2.660000000000000146e-04,1.437479999999999869e-01
2.722000000000000027e-04,1.468740000000000046e-01
2.783999999999999908e-04,1.499999999999999944e-01
2.845999999999999789e-04,1.531259999999999843e-01
2.908000000000000211e-04,1.546889999999999932e-01
2.970000000000000092e-04,1.546889999999999932e-01
3.031999999999999973e-04,1.546889999999999932e-01
3.093999999999999854e-04,1.546889999999999932e-01
3.156000000000000276e-04,1.546889999999999932e-01
3.218000000000000157e-04,1.593779999999999919e-01
3.280000000000000038e-04,1.593779999999999919e-01
3.341999999999999919e-04,1.625039999999999818e-01
3.403999999999999799e-04,1.625039999999999818e-01
3.465999999999999680e-04,1.656299999999999994e-01
3.528000000000000103e-04,1.671929999999999805e-01
3.589999999999999984e-04,1.671929999999999805e-01
3.651999999999999864e-04,1.671929999999999805e-01
3.713999999999999745e-04,1.687559999999999893e-01
3.775999999999999626e-04,1.687559999999999893e-01
3.838000000000000049e-04,1.687559999999999893e-01
3.899999999999999929e-04,1.671929999999999805e-01
3.961999999999999810e-04,1.671929999999999805e-01
4.023999999999999691e-04,1.656299999999999994e-01
4.086000000000000114e-04,1.640669999999999906e-01
4.147999999999999994e-04,1.640669999999999906e-01
4.209999999999999875e-04,1.640669999999999906e-01
4.271999999999999756e-04,1.640669999999999906e-01
4.333999999999999637e-04,1.640669999999999906e-01
4.396000000000000059e-04,1.640669999999999906e-01
4.457999999999999940e-04,1.656299999999999994e-01
4.519999999999999821e-04,1.671929999999999805e-01
4.581999999999999702e-04,1.687559999999999893e-01
4.644000000000000124e-04,1.703189999999999982e-01
