ELECTRODE=TUNGSTEN, TIME=50, POLING_VOLTAGE=4500, WAVELENGTH=1.55e-06, EFFECTIVE_DISTANCE=4.11e-05, POLED_LENGTH=0.3, CORE_INDEX=1.45, POLE=MAX, AC_VOLTAGE=1062, AC_FREQUENCY=5500, PIEZO_FREQUENCY=110.0
Time(s),Voltage(V)
-1.000000000000000048e-04,8.812500000000000888e-02
-9.540000000000000140e-05,8.562500000000000666e-02
-9.080000000000001156e-05,8.312500000000000444e-02
-8.620000000000000817e-05,8.062500000000000222e-02
-8.160000000000000478e-05,7.812500000000000000e-02
-7.700000000000000139e-05,7.624999999999999833e-02
-7.239999999999999799e-05,7.374999999999999611e-02
-6.780000000000000816e-05,7.312499999999999556e-02
-6.320000000000000476e-05,7.000000000000000666e-02
-5.860000000000000137e-05,6.875000000000000555e-02
-5.400000000000000476e-05,6.750000000000000444e-02
-4.940000000000000814e-05,6.750000000000000444e-02
-4.480000000000000475e-05,6.687500000000000389e-02
-4.020000000000000136e-05,6.750000000000000444e-02
-3.560000000000001152e-05,6.875000000000000555e-02
-3.100000000000000813e-05,6.937500000000000611e-02
-2.640000000000000473e-05,7.250000000000000888e-02
-2.180000000000000134e-05,7.374999999999999611e-02
-1.719999999999999795e-05,7.687499999999999889e-02
-1.260000000000000811e-05,7.875000000000000056e-02
-8.000000000000004720e-06,8.062500000000000222e-02
-3.400000000000001328e-06,8.250000000000000389e-02
1.199999999999988511e-06,8.250000000000000389e-02
5.799999999999991902e-06,8.375000000000000500e-02
1.039999999999999529e-05,8.437500000000000555e-02
1.499999999999999869e-05,8.375000000000000500e-02
1.960000000000000208e-05,8.437500000000000555e-02
2.420000000000000547e-05,8.562500000000000666e-02
2.879999999999998176e-05,8.687500000000000777e-02
3.339999999999998515e-05,8.937499999999999611e-02
3.799999999999998854e-05,9.062499999999999722e-02
4.259999999999999193e-05,9.062499999999999722e-02
4.719999999999999532e-05,8.874999999999999556e-02
5.179999999999999871e-05,8.687500000000000777e-02
5.640000000000000211e-05,8.437500000000000555e-02
6.100000000000000550e-05,8.437500000000000555e-02
6.560000000000000889e-05,8.562500000000000666e-02
7.019999999999998518e-05,8.812500000000000888e-02
7.479999999999998857e-05,8.937499999999999611e-02
7.939999999999999196e-05,8.874999999999999556e-02
8.399999999999999535e-05,8.687500000000000777e-02
8.859999999999999874e-05,8.812500000000000888e-02
9.320000000000000214e-05,9.062499999999999722e-02
9.780000000000000553e-05,9.187499999999999833e-02
1.023999999999999818e-04,9.124999999999999778e-02
1.069999999999999852e-04,8.874999999999999556e-02
1.115999999999999886e-04,8.625000000000000722e-02
1.161999999999999920e-04,8.375000000000000500e-02
1.207999999999999954e-04,8.187500000000000333e-02
1.254000000000000123e-04,8.062500000000000222e-02
1.300000000000000157e-04,7.937500000000000111e-02
1.346000000000000191e-04,7.687499999999999889e-02
1.392000000000000225e-04,7.499999999999999722e-02
1.437999999999999717e-04,7.374999999999999611e-02
1.484000000000000293e-04,7.312499999999999556e-02
1.530000000000000327e-04,7.374999999999999611e-02
1.575999999999999819e-04,7.562499999999999778e-02
1.621999999999999852e-04,7.749999999999999944e-02
1.667999999999999886e-04,8.000000000000000167e-02
1.713999999999999920e-04,8.125000000000000278e-02
1.759999999999999954e-04,8.250000000000000389e-02
1.805999999999999988e-04,8.375000000000000500e-02
1.852000000000000022e-04,8.500000000000000611e-02
1.898000000000000056e-04,8.625000000000000722e-02
1.944000000000000090e-04,8.812500000000000888e-02
1.990000000000000124e-04,8.937499999999999611e-02
2.036000000000000158e-04,8.999999999999999667e-02
2.082000000000000192e-04,9.187499999999999833e-02
2.128000000000000226e-04,9.249999999999999889e-02
2.174000000000000259e-04,9.249999999999999889e-02
2.220000000000000293e-04,9.437500000000000056e-02
2.266000000000000327e-04,9.562500000000000167e-02
2.312000000000000361e-04,9.687500000000000278e-02
2.357999999999999853e-04,9.875000000000000444e-02
2.403999999999999887e-04,9.937500000000000500e-02
2.449999999999999921e-04,9.812500000000000389e-02
2.495999999999999955e-04,9.750000000000000333e-02
2.541999999999999989e-04,9.562500000000000167e-02
2.588000000000000023e-04,9.249999999999999889e-02
2.634000000000000057e-04,9.062499999999999722e-02
2.680000000000000090e-04,8.812500000000000888e-02
2.726000000000000124e-04,8.625000000000000722e-02
2.772000000000000158e-04,8.437500000000000555e-02
2.818000000000000192e-04,8.375000000000000500e-02
2.864000000000000226e-04,8.375000000000000500e-02
2.910000000000000260e-04,8.250000000000000389e-02
2.956000000000000294e-04,8.250000000000000389e-02
3.002000000000000328e-04,8.062500000000000222e-02
3.047999999999999820e-04,7.749999999999999944e-02
3.093999999999999854e-04,7.624999999999999833e-02
3.139999999999999888e-04,7.562499999999999778e-02
3.185999999999999921e-04,7.562499999999999778e-02
3.231999999999999955e-04,7.499999999999999722e-02
3.277999999999999989e-04,7.562499999999999778e-02
3.324000000000000023e-04,7.562499999999999778e-02
3.370000000000000057e-04,7.562499999999999778e-02
