ELECTRODE=IRON, TIME=50, POLING_VOLTAGE=4500, WAVELENGTH=1.55e-06, EFFECTIVE_DISTANCE=4.11e-05, POLED_LENGTH=0.3, CORE_INDEX=1.45, POLE=MAX, AC_VOLTAGE=1138, AC_FREQUENCY=3250, PIEZO_FREQUENCY=65.0
Time(s),Voltage(V)
-8.000000000000000654e-05,6.750000000000000444e-01
-7.220000000000000669e-05,6.937499999999999778e-01
-6.440000000000000683e-05,6.999999999999999556e-01
-5.660000000000000697e-05,6.999999999999999556e-01
-4.880000000000000711e-05,6.937499999999999778e-01
-4.100000000000000725e-05,6.875000000000000000e-01
-3.320000000000000739e-05,6.812500000000000222e-01
-2.540000000000000753e-05,6.562500000000000000e-01
-1.760000000000000767e-05,6.437499999999999334e-01
-9.800000000000007815e-06,6.374999999999999556e-01
-2.000000000000007956e-06,6.312499999999999778e-01
5.799999999999991902e-06,6.312499999999999778e-01
1.359999999999999176e-05,6.374999999999999556e-01
2.139999999999999162e-05,6.437499999999999334e-01
2.919999999999999148e-05,6.624999999999999778e-01
3.699999999999999134e-05,6.812500000000000222e-01
4.479999999999999120e-05,6.999999999999999556e-01
5.259999999999999106e-05,6.999999999999999556e-01
6.039999999999999091e-05,6.875000000000000000e-01
6.819999999999999077e-05,6.437499999999999334e-01
7.599999999999999063e-05,6.312499999999999778e-01
8.379999999999999049e-05,6.062499999999999556e-01
9.159999999999999035e-05,6.124999999999999334e-01
9.939999999999999021e-05,6.312499999999999778e-01
1.071999999999999901e-04,6.437499999999999334e-01
1.149999999999999899e-04,6.500000000000000222e-01
1.228000000000000033e-04,6.250000000000000000e-01
1.305999999999999761e-04,6.312499999999999778e-01
1.384000000000000031e-04,6.124999999999999334e-01
1.461999999999999758e-04,6.062499999999999556e-01
1.540000000000000028e-04,5.749999999999999556e-01
1.617999999999999755e-04,5.562500000000000222e-01
1.696000000000000025e-04,5.749999999999999556e-01
1.773999999999999752e-04,5.875000000000000222e-01
1.852000000000000022e-04,6.124999999999999334e-01
1.930000000000000292e-04,6.187500000000000222e-01
2.008000000000000019e-04,6.250000000000000000e-01
2.085999999999999747e-04,6.374999999999999556e-01
2.164000000000000016e-04,6.500000000000000222e-01
2.242000000000000286e-04,6.624999999999999778e-01
2.320000000000000014e-04,6.624999999999999778e-01
2.397999999999999741e-04,6.624999999999999778e-01
2.476000000000000011e-04,6.374999999999999556e-01
2.554000000000000280e-04,6.062499999999999556e-01
2.632000000000000008e-04,5.937500000000000000e-01
2.709999999999999735e-04,5.625000000000000000e-01
2.788000000000000005e-04,5.374999999999999778e-01
2.866000000000000275e-04,5.000000000000000000e-01
2.944000000000000002e-04,4.749999999999999778e-01
3.021999999999999730e-04,4.749999999999999778e-01
3.099999999999999999e-04,4.749999999999999778e-01
3.178000000000000269e-04,4.874999999999999889e-01
3.255999999999999997e-04,5.000000000000000000e-01
3.333999999999999724e-04,5.124999999999999556e-01
3.411999999999999994e-04,5.312500000000000000e-01
3.490000000000000263e-04,5.499999999999999334e-01
3.567999999999999991e-04,5.749999999999999556e-01
3.645999999999999719e-04,5.937500000000000000e-01
3.723999999999999988e-04,6.062499999999999556e-01
3.802000000000000258e-04,6.124999999999999334e-01
3.879999999999999985e-04,5.937500000000000000e-01
3.957999999999999713e-04,5.749999999999999556e-01
4.035999999999999983e-04,5.625000000000000000e-01
4.114000000000000252e-04,5.562500000000000222e-01
4.191999999999999980e-04,5.374999999999999778e-01
4.269999999999999707e-04,5.312500000000000000e-01
4.347999999999999435e-04,5.187499999999999334e-01
4.426000000000000247e-04,5.187499999999999334e-01
4.503999999999999974e-04,5.312500000000000000e-01
4.581999999999999702e-04,5.437499999999999556e-01
4.660000000000000513e-04,5.625000000000000000e-01
4.738000000000000241e-04,5.937500000000000000e-01
4.815999999999999968e-04,6.124999999999999334e-01
4.893999999999999696e-04,6.187500000000000222e-01
4.971999999999999423e-04,6.500000000000000222e-01
5.050000000000000235e-04,6.687499999999999556e-01
5.127999999999999963e-04,6.875000000000000000e-01
5.205999999999999690e-04,7.062500000000000444e-01
5.284000000000000502e-04,7.125000000000000222e-01
5.362000000000000230e-04,7.312499999999999556e-01
5.439999999999999957e-04,7.312499999999999556e-01
5.517999999999999685e-04,7.312499999999999556e-01
5.595999999999999412e-04,7.187500000000000000e-01
5.674000000000000224e-04,7.062500000000000444e-01
5.751999999999999951e-04,6.937499999999999778e-01
5.829999999999999679e-04,6.687499999999999556e-01
5.908000000000000491e-04,6.624999999999999778e-01
5.986000000000000218e-04,6.437499999999999334e-01
6.063999999999999946e-04,6.374999999999999556e-01
6.141999999999999673e-04,6.187500000000000222e-01
6.219999999999999401e-04,6.124999999999999334e-01
6.298000000000000213e-04,5.999999999999999778e-01
6.375999999999999940e-04,5.999999999999999778e-01
6.453999999999999668e-04,6.187500000000000222e-01
6.532000000000000479e-04,6.437499999999999334e-01
6.610000000000000207e-04,6.624999999999999778e-01
6.687999999999999935e-04,6.687499999999999556e-01
6.765999999999999662e-04,6.999999999999999556e-01
6.843999999999999390e-04,7.125000000000000222e-01
6.922000000000000201e-04,7.312499999999999556e-01
6.999999999999999929e-04,7.187500000000000000e-01
7.077999999999999656e-04,7.187500000000000000e-01
7.156000000000000468e-04,7.125000000000000222e-01
7.234000000000000196e-04,6.999999999999999556e-01
7.311999999999999923e-04,6.875000000000000000e-01
7.389999999999999651e-04,6.687499999999999556e-01
7.467999999999999378e-04,6.624999999999999778e-01
7.546000000000000190e-04,6.687499999999999556e-01
7.623999999999999918e-04,6.750000000000000444e-01
7.701999999999999645e-04,6.875000000000000000e-01
7.780000000000000457e-04,6.937499999999999778e-01
7.858000000000000184e-04,7.125000000000000222e-01
7.935999999999999912e-04,7.312499999999999556e-01
8.013999999999999639e-04,7.375000000000000444e-01
8.091999999999999367e-04,7.624999999999999556e-01
8.170000000000000179e-04,7.687500000000000444e-01
8.247999999999999906e-04,7.874999999999999778e-01
8.325999999999999634e-04,7.937499999999999556e-01
8.404000000000000446e-04,8.000000000000000444e-01
8.482000000000000173e-04,7.937499999999999556e-01
8.559999999999999901e-04,7.812500000000000000e-01
8.637999999999999628e-04,7.624999999999999556e-01
8.715999999999999356e-04,7.312499999999999556e-01
8.794000000000000167e-04,6.999999999999999556e-01
8.871999999999999895e-04,6.875000000000000000e-01
8.949999999999999623e-04,6.437499999999999334e-01
9.028000000000000434e-04,6.312499999999999778e-01
9.105999999999999078e-04,5.999999999999999778e-01
9.183999999999999889e-04,5.687499999999999778e-01
9.262000000000000701e-04,5.499999999999999334e-01
9.339999999999999344e-04,5.437499999999999556e-01
9.418000000000000156e-04,5.374999999999999778e-01
9.495999999999998799e-04,5.499999999999999334e-01
9.573999999999999611e-04,5.687499999999999778e-01
9.652000000000000423e-04,5.937500000000000000e-01
9.729999999999999066e-04,6.250000000000000000e-01
9.807999999999999878e-04,6.437499999999999334e-01
9.886000000000000690e-04,6.624999999999999778e-01
9.963999999999999333e-04,6.687499999999999556e-01
1.004200000000000014e-03,6.875000000000000000e-01
1.012000000000000096e-03,6.812500000000000222e-01
1.019799999999999960e-03,6.750000000000000444e-01
1.027600000000000041e-03,6.750000000000000444e-01
1.035399999999999906e-03,6.624999999999999778e-01
1.043199999999999987e-03,6.437499999999999334e-01
1.051000000000000068e-03,6.437499999999999334e-01
1.058799999999999932e-03,6.374999999999999556e-01
1.066600000000000013e-03,6.437499999999999334e-01
1.074399999999999878e-03,6.437499999999999334e-01
1.082199999999999959e-03,6.562500000000000000e-01
1.090000000000000040e-03,6.750000000000000444e-01
1.097799999999999904e-03,6.937499999999999778e-01
1.105599999999999986e-03,7.062500000000000444e-01
1.113400000000000067e-03,7.312499999999999556e-01
1.121199999999999931e-03,7.500000000000000000e-01
1.129000000000000012e-03,7.624999999999999556e-01
1.136800000000000093e-03,7.687500000000000444e-01
1.144599999999999958e-03,7.750000000000000222e-01
1.152400000000000039e-03,7.624999999999999556e-01
1.160199999999999903e-03,7.437500000000000222e-01
1.167999999999999984e-03,7.125000000000000222e-01
1.175800000000000066e-03,6.937499999999999778e-01
1.183599999999999930e-03,6.500000000000000222e-01
1.191400000000000011e-03,6.124999999999999334e-01
1.199199999999999875e-03,5.999999999999999778e-01
1.206999999999999957e-03,5.687499999999999778e-01
1.214800000000000038e-03,5.312500000000000000e-01
1.222599999999999902e-03,5.124999999999999556e-01
1.230399999999999983e-03,4.812499999999999556e-01
1.238200000000000064e-03,4.687500000000000000e-01
1.245999999999999929e-03,4.562499999999999334e-01
1.253800000000000010e-03,4.499999999999999556e-01
1.261600000000000091e-03,4.624999999999999667e-01
1.269399999999999955e-03,4.812499999999999556e-01
1.277200000000000037e-03,5.062499999999999778e-01
1.284999999999999901e-03,5.312500000000000000e-01
1.292799999999999982e-03,5.687499999999999778e-01
1.300600000000000063e-03,5.999999999999999778e-01
1.308399999999999928e-03,6.062499999999999556e-01
1.316200000000000009e-03,6.124999999999999334e-01
1.323999999999999873e-03,6.374999999999999556e-01
1.331799999999999954e-03,6.437499999999999334e-01
1.339600000000000036e-03,6.500000000000000222e-01
1.347399999999999900e-03,6.500000000000000222e-01
1.355199999999999981e-03,6.624999999999999778e-01
1.363000000000000062e-03,6.687499999999999556e-01
1.370799999999999927e-03,6.812500000000000222e-01
1.378600000000000008e-03,6.999999999999999556e-01
1.386400000000000089e-03,7.125000000000000222e-01
1.394199999999999953e-03,7.187500000000000000e-01
1.402000000000000034e-03,7.249999999999999778e-01
1.409799999999999899e-03,7.249999999999999778e-01
1.417599999999999980e-03,7.375000000000000444e-01
1.425400000000000061e-03,7.312499999999999556e-01
1.433199999999999925e-03,7.249999999999999778e-01
