ELECTRODE=TUNGSTEN, TIME=50, POLING_VOLTAGE=4500, WAVELENGTH=1.55e-06, EFFECTIVE_DISTANCE=4.11e-05, POLED_LENGTH=0.3, CORE_INDEX=1.45, POLE=MAX, AC_VOLTAGE=1038, AC_FREQUENCY=3000, PIEZO_FREQUENCY=60
Time(s),Voltage(V)
0.000000000000000000e+00,7.968750000000000000e-01
7.999999999999999638e-06,8.062500000000000222e-01
1.599999999999999928e-05,8.250000000000000666e-01
2.400000000000000061e-05,8.531250000000000222e-01
3.199999999999999855e-05,9.375000000000000000e-01
3.999999999999999650e-05,9.468750000000000222e-01
4.800000000000000122e-05,9.749999999999999778e-01
5.599999999999999916e-05,9.656250000000000666e-01
6.399999999999999710e-05,9.281249999999999778e-01
7.200000000000000182e-05,8.625000000000000444e-01
7.999999999999999299e-05,8.250000000000000666e-01
8.799999999999999771e-05,8.250000000000000666e-01
9.600000000000000243e-05,8.812499999999999778e-01
1.039999999999999936e-04,8.625000000000000444e-01
1.119999999999999983e-04,8.625000000000000444e-01
1.199999999999999895e-04,8.906250000000000000e-01
1.279999999999999942e-04,9.281249999999999778e-01
1.359999999999999989e-04,9.375000000000000000e-01
1.440000000000000036e-04,8.906250000000000000e-01
1.519999999999999813e-04,8.437500000000000000e-01
1.599999999999999860e-04,8.156250000000000444e-01
1.679999999999999907e-04,8.250000000000000666e-01
1.759999999999999954e-04,8.343749999999999778e-01
1.840000000000000001e-04,8.531250000000000222e-01
1.920000000000000049e-04,8.531250000000000222e-01
1.999999999999999825e-04,8.812499999999999778e-01
2.079999999999999872e-04,9.375000000000000000e-01
2.159999999999999919e-04,9.562500000000000444e-01
2.239999999999999966e-04,1.012499999999999956e+00
2.320000000000000014e-04,1.040624999999999911e+00
2.399999999999999790e-04,1.087499999999999911e+00
2.480000000000000108e-04,1.106249999999999956e+00
2.559999999999999884e-04,1.134374999999999911e+00
2.639999999999999660e-04,1.171875000000000000e+00
2.719999999999999979e-04,1.190625000000000044e+00
2.799999999999999755e-04,1.171875000000000000e+00
2.880000000000000073e-04,1.096875000000000044e+00
2.959999999999999849e-04,1.068750000000000089e+00
3.039999999999999625e-04,9.843750000000000000e-01
3.119999999999999944e-04,9.375000000000000000e-01
3.199999999999999720e-04,8.906250000000000000e-01
3.280000000000000038e-04,8.625000000000000444e-01
3.359999999999999814e-04,8.531250000000000222e-01
3.439999999999999590e-04,8.718750000000000666e-01
3.519999999999999908e-04,9.187500000000000666e-01
3.599999999999999685e-04,9.656250000000000666e-01
3.680000000000000003e-04,1.021875000000000089e+00
3.759999999999999779e-04,1.040624999999999911e+00
3.840000000000000097e-04,1.068750000000000089e+00
3.919999999999999873e-04,1.106249999999999956e+00
3.999999999999999650e-04,1.143750000000000044e+00
4.079999999999999968e-04,1.153124999999999956e+00
4.159999999999999744e-04,1.181249999999999911e+00
4.240000000000000062e-04,1.181249999999999911e+00
4.319999999999999838e-04,1.171875000000000000e+00
4.399999999999999615e-04,1.143750000000000044e+00
4.479999999999999933e-04,1.134374999999999911e+00
4.559999999999999709e-04,1.087499999999999911e+00
4.640000000000000027e-04,1.021875000000000089e+00
4.719999999999999803e-04,9.937500000000000222e-01
4.799999999999999580e-04,9.656250000000000666e-01
4.879999999999999898e-04,8.812499999999999778e-01
4.960000000000000216e-04,8.625000000000000444e-01
5.039999999999999992e-04,8.156250000000000444e-01
5.119999999999999768e-04,7.687500000000000444e-01
5.199999999999999544e-04,7.593750000000000222e-01
5.279999999999999321e-04,7.593750000000000222e-01
5.360000000000000181e-04,7.875000000000000888e-01
5.439999999999999957e-04,8.062500000000000222e-01
5.519999999999999733e-04,8.625000000000000444e-01
5.599999999999999509e-04,8.812499999999999778e-01
5.679999999999999286e-04,9.281249999999999778e-01
5.760000000000000146e-04,9.375000000000000000e-01
5.839999999999999922e-04,9.843750000000000000e-01
5.919999999999999698e-04,9.937500000000000222e-01
5.999999999999999474e-04,1.031250000000000000e+00
6.079999999999999251e-04,1.031250000000000000e+00
6.160000000000000111e-04,1.012499999999999956e+00
6.239999999999999887e-04,9.749999999999999778e-01
6.319999999999999663e-04,9.375000000000000000e-01
6.399999999999999439e-04,8.812499999999999778e-01
6.479999999999999215e-04,8.531250000000000222e-01
6.560000000000000076e-04,8.062500000000000222e-01
6.639999999999999852e-04,7.781250000000000666e-01
6.719999999999999628e-04,7.687500000000000444e-01
6.799999999999999404e-04,7.875000000000000888e-01
6.879999999999999180e-04,8.062500000000000222e-01
6.960000000000000041e-04,8.343749999999999778e-01
7.039999999999999817e-04,8.531250000000000222e-01
7.119999999999999593e-04,8.906250000000000000e-01
7.199999999999999369e-04,9.281249999999999778e-01
7.279999999999999145e-04,9.375000000000000000e-01
7.360000000000000006e-04,9.656250000000000666e-01
7.439999999999999782e-04,9.843750000000000000e-01
7.519999999999999558e-04,9.843750000000000000e-01
7.599999999999999334e-04,9.749999999999999778e-01
7.680000000000000195e-04,9.749999999999999778e-01
7.759999999999999971e-04,9.562500000000000444e-01
7.839999999999999747e-04,9.187500000000000666e-01
7.919999999999999523e-04,8.906250000000000000e-01
7.999999999999999299e-04,8.531250000000000222e-01
8.080000000000000160e-04,8.156250000000000444e-01
8.159999999999999936e-04,7.781250000000000666e-01
8.239999999999999712e-04,7.312500000000000666e-01
8.319999999999999488e-04,7.218750000000000444e-01
8.399999999999999264e-04,7.125000000000000222e-01
8.480000000000000124e-04,7.218750000000000444e-01
8.559999999999999901e-04,7.500000000000000000e-01
8.639999999999999677e-04,7.687500000000000444e-01
8.719999999999999453e-04,8.250000000000000666e-01
8.799999999999999229e-04,8.906250000000000000e-01
8.880000000000000089e-04,9.093750000000000444e-01
8.959999999999999866e-04,9.656250000000000666e-01
9.039999999999999642e-04,9.937500000000000222e-01
9.119999999999999418e-04,1.040624999999999911e+00
9.199999999999999194e-04,1.068750000000000089e+00
9.280000000000000054e-04,1.096875000000000044e+00
9.359999999999999831e-04,1.134374999999999911e+00
9.439999999999999607e-04,1.153124999999999956e+00
9.519999999999999383e-04,1.143750000000000044e+00
9.599999999999999159e-04,1.096875000000000044e+00
9.680000000000000019e-04,1.068750000000000089e+00
9.759999999999999796e-04,9.937500000000000222e-01
