ELECTRODE=TUNGSTEN, TIME=50, POLING_VOLTAGE=4500, WAVELENGTH=1.55e-06, EFFECTIVE_DISTANCE=4.11e-05, POLED_LENGTH=0.3, CORE_INDEX=1.45, POLE=MAX, AC_VOLTAGE=259.4, AC_FREQUENCY=3000, PIEZO_FREQUENCY=60.0
Time(s),Voltage(V)
-8.000000000000000654e-05,1.812500000000000222e-02
-7.160000000000000565e-05,1.750000000000000167e-02
-6.320000000000000476e-05,1.750000000000000167e-02
-5.480000000000001065e-05,1.687500000000000111e-02
-4.640000000000000976e-05,1.687500000000000111e-02
-3.800000000000000887e-05,1.687500000000000111e-02
-2.960000000000001475e-05,1.750000000000000167e-02
-2.120000000000001386e-05,1.750000000000000167e-02
-1.280000000000001297e-05,1.750000000000000167e-02
-4.400000000000012083e-06,1.875000000000000278e-02
3.999999999999988808e-06,1.812500000000000222e-02
1.239999999999998970e-05,1.937500000000000333e-02
2.079999999999997704e-05,2.000000000000000389e-02
2.919999999999997793e-05,2.062499999999999750e-02
3.759999999999997882e-05,2.062499999999999750e-02
4.599999999999999326e-05,2.124999999999999806e-02
5.439999999999998060e-05,2.124999999999999806e-02
6.279999999999996794e-05,2.124999999999999806e-02
7.119999999999998238e-05,2.249999999999999917e-02
7.959999999999996972e-05,2.750000000000000361e-02
8.799999999999998416e-05,3.187500000000000056e-02
9.639999999999997150e-05,3.812499999999999917e-02
1.047999999999999859e-04,3.937500000000000028e-02
1.131999999999999733e-04,3.937500000000000028e-02
1.215999999999999606e-04,3.937500000000000028e-02
1.299999999999999615e-04,4.312500000000000361e-02
1.383999999999999488e-04,4.125000000000000194e-02
1.467999999999999904e-04,4.062500000000000139e-02
1.551999999999999777e-04,4.187500000000000250e-02
1.635999999999999651e-04,4.125000000000000194e-02
1.720000000000000066e-04,3.937500000000000028e-02
1.803999999999999940e-04,3.812499999999999917e-02
1.887999999999999813e-04,3.812499999999999917e-02
1.971999999999999686e-04,3.874999999999999972e-02
2.055999999999999560e-04,3.749999999999999861e-02
2.139999999999999975e-04,3.624999999999999750e-02
2.223999999999999849e-04,3.500000000000000333e-02
2.307999999999999722e-04,3.375000000000000222e-02
2.391999999999999595e-04,3.312500000000000167e-02
2.476000000000000011e-04,3.375000000000000222e-02
2.559999999999999884e-04,3.312500000000000167e-02
2.643999999999999758e-04,3.312500000000000167e-02
