ELECTRODE=TUNGSTEN, TIME=50, POLING_VOLTAGE=4500, WAVELENGTH=1.55e-06, EFFECTIVE_DISTANCE=4.11e-05, AC_VOLTAGE=459.4, POLED_LENGTH=0.3, CORE_INDEX=1.45, ELLIPTICITY=15, AZIMUTHAL=0, PIEZO_FREQUENCY=120, AC_FREQUENCY=6000
Time(s),Voltage(V)
0.000000000000000000e+00,1.499999999999999667e-01
4.199999999999999598e-06,1.468749999999999778e-01
8.399999999999999196e-06,1.437499999999999889e-01
1.259999999999999795e-05,1.406249999999999722e-01
1.679999999999999839e-05,1.406249999999999722e-01
2.099999999999999884e-05,1.343749999999999667e-01
2.519999999999999590e-05,1.343749999999999667e-01
2.939999999999999634e-05,1.312499999999999778e-01
3.359999999999999679e-05,1.281249999999999889e-01
3.779999999999999723e-05,1.249999999999999722e-01
4.199999999999999768e-05,1.218749999999999833e-01
4.619999999999999812e-05,1.218749999999999833e-01
5.039999999999999179e-05,1.218749999999999833e-01
5.459999999999999224e-05,1.187499999999999667e-01
5.879999999999999268e-05,1.187499999999999667e-01
6.299999999999999990e-05,1.156249999999999778e-01
6.719999999999999357e-05,1.187499999999999667e-01
7.139999999999998724e-05,1.156249999999999778e-01
7.559999999999999446e-05,1.156249999999999778e-01
7.979999999999998813e-05,1.187499999999999667e-01
8.399999999999999535e-05,1.156249999999999778e-01
8.819999999999998902e-05,1.187499999999999667e-01
9.239999999999999624e-05,1.249999999999999722e-01
9.659999999999998991e-05,1.249999999999999722e-01
1.007999999999999836e-04,1.249999999999999722e-01
1.049999999999999908e-04,1.281249999999999889e-01
1.091999999999999845e-04,1.343749999999999667e-01
1.133999999999999917e-04,1.343749999999999667e-01
1.175999999999999854e-04,1.343749999999999667e-01
1.217999999999999926e-04,1.281249999999999889e-01
1.259999999999999998e-04,1.312499999999999778e-01
1.301999999999999935e-04,1.343749999999999667e-01
1.343999999999999871e-04,1.343749999999999667e-01
1.385999999999999808e-04,1.374999999999999833e-01
1.427999999999999745e-04,1.374999999999999833e-01
1.469999999999999953e-04,1.343749999999999667e-01
1.511999999999999889e-04,1.374999999999999833e-01
1.553999999999999826e-04,1.343749999999999667e-01
1.595999999999999763e-04,1.312499999999999778e-01
1.637999999999999970e-04,1.312499999999999778e-01
1.679999999999999907e-04,1.281249999999999889e-01
1.721999999999999844e-04,1.249999999999999722e-01
1.763999999999999780e-04,1.218749999999999833e-01
1.805999999999999717e-04,1.187499999999999667e-01
1.847999999999999925e-04,1.187499999999999667e-01
1.889999999999999862e-04,1.156249999999999778e-01
1.931999999999999798e-04,1.124999999999999889e-01
1.973999999999999735e-04,1.093749999999999722e-01
2.015999999999999672e-04,1.093749999999999722e-01
2.057999999999999879e-04,1.093749999999999722e-01
2.099999999999999816e-04,1.156249999999999778e-01
2.141999999999999753e-04,1.156249999999999778e-01
2.183999999999999689e-04,1.218749999999999833e-01
2.225999999999999897e-04,1.218749999999999833e-01
2.267999999999999834e-04,1.312499999999999778e-01
2.309999999999999771e-04,1.343749999999999667e-01
2.351999999999999707e-04,1.374999999999999833e-01
2.393999999999999644e-04,1.374999999999999833e-01
2.435999999999999852e-04,1.374999999999999833e-01
2.477999999999999517e-04,1.406249999999999722e-01
2.519999999999999996e-04,1.406249999999999722e-01
2.561999999999999933e-04,1.437499999999999889e-01
2.603999999999999869e-04,1.499999999999999667e-01
2.645999999999999806e-04,1.499999999999999667e-01
2.687999999999999743e-04,1.531249999999999833e-01
2.729999999999999680e-04,1.531249999999999833e-01
2.771999999999999616e-04,1.562499999999999722e-01
2.813999999999999553e-04,1.562499999999999722e-01
2.855999999999999490e-04,1.531249999999999833e-01
2.897999999999999968e-04,1.499999999999999667e-01
2.939999999999999905e-04,1.499999999999999667e-01
2.981999999999999842e-04,1.468749999999999778e-01
3.023999999999999778e-04,1.468749999999999778e-01
3.065999999999999715e-04,1.437499999999999889e-01
3.107999999999999652e-04,1.437499999999999889e-01
3.149999999999999589e-04,1.406249999999999722e-01
3.191999999999999525e-04,1.374999999999999833e-01
3.233999999999999462e-04,1.374999999999999833e-01
3.275999999999999941e-04,1.343749999999999667e-01
3.317999999999999877e-04,1.343749999999999667e-01
3.359999999999999814e-04,1.124999999999999889e-01
3.401999999999999751e-04,1.124999999999999889e-01
3.443999999999999687e-04,1.093749999999999722e-01
3.485999999999999624e-04,1.093749999999999722e-01
3.527999999999999561e-04,1.062499999999999833e-01
3.569999999999999498e-04,1.031249999999999667e-01
3.611999999999999434e-04,1.062499999999999833e-01
3.653999999999999913e-04,1.062499999999999833e-01
3.695999999999999850e-04,1.093749999999999722e-01
3.737999999999999786e-04,1.156249999999999778e-01
3.779999999999999723e-04,1.187499999999999667e-01
3.821999999999999660e-04,1.218749999999999833e-01
3.863999999999999596e-04,1.312499999999999778e-01
3.905999999999999533e-04,1.343749999999999667e-01
3.947999999999999470e-04,1.374999999999999833e-01
3.989999999999999407e-04,1.406249999999999722e-01
4.031999999999999343e-04,1.437499999999999889e-01
4.073999999999999822e-04,1.437499999999999889e-01
4.115999999999999759e-04,1.437499999999999889e-01
4.157999999999999695e-04,1.468749999999999778e-01
4.199999999999999632e-04,1.468749999999999778e-01
4.241999999999999569e-04,1.499999999999999667e-01
4.283999999999999505e-04,1.499999999999999667e-01
4.325999999999999442e-04,1.531249999999999833e-01
4.367999999999999379e-04,1.593749999999999889e-01
4.409999999999999316e-04,1.593749999999999889e-01
4.451999999999999794e-04,1.624999999999999778e-01
4.493999999999999731e-04,1.624999999999999778e-01
4.535999999999999668e-04,1.656249999999999944e-01
4.577999999999999604e-04,1.593749999999999889e-01
4.619999999999999541e-04,1.593749999999999889e-01
4.661999999999999478e-04,1.562499999999999722e-01
4.703999999999999414e-04,1.499999999999999667e-01
4.745999999999999351e-04,1.468749999999999778e-01
4.787999999999999288e-04,1.437499999999999889e-01
4.829999999999999767e-04,1.437499999999999889e-01
4.871999999999999703e-04,1.406249999999999722e-01
4.913999999999999098e-04,1.374999999999999833e-01
4.955999999999999035e-04,1.343749999999999667e-01
4.998000000000000055e-04,1.281249999999999889e-01
5.039999999999999992e-04,1.281249999999999889e-01
5.081999999999999929e-04,1.249999999999999722e-01
5.123999999999999866e-04,1.218749999999999833e-01
5.165999999999999802e-04,1.249999999999999722e-01
5.207999999999999739e-04,1.218749999999999833e-01
5.249999999999999676e-04,1.218749999999999833e-01
5.291999999999999612e-04,1.249999999999999722e-01
5.333999999999999549e-04,1.249999999999999722e-01
5.375999999999999486e-04,1.281249999999999889e-01
5.417999999999999422e-04,1.312499999999999778e-01
5.459999999999999359e-04,1.343749999999999667e-01
5.501999999999999296e-04,1.406249999999999722e-01
5.543999999999999232e-04,1.437499999999999889e-01
5.585999999999999169e-04,1.499999999999999667e-01
5.627999999999999106e-04,1.499999999999999667e-01
5.669999999999999043e-04,1.531249999999999833e-01
5.711999999999998979e-04,1.562499999999999722e-01
5.753999999999998916e-04,1.562499999999999722e-01
5.795999999999999937e-04,1.562499999999999722e-01
5.837999999999999873e-04,1.593749999999999889e-01
5.879999999999999810e-04,1.562499999999999722e-01
5.921999999999999747e-04,1.593749999999999889e-01
5.963999999999999684e-04,1.624999999999999778e-01
6.005999999999999620e-04,1.624999999999999778e-01
6.047999999999999557e-04,1.687499999999999833e-01
6.089999999999999494e-04,1.687499999999999833e-01
6.131999999999999430e-04,1.718749999999999722e-01
6.173999999999999367e-04,1.749999999999999889e-01
6.215999999999999304e-04,1.749999999999999889e-01
6.257999999999999240e-04,1.718749999999999722e-01
6.299999999999999177e-04,1.718749999999999722e-01
