ELECTRODE=TUNGSTEN, TIME=50, POLING_VOLTAGE=4500, WAVELENGTH=1.55e-06, EFFECTIVE_DISTANCE=4.11e-05, POLED_LENGTH=0.3, CORE_INDEX=1.45, POLE=MAX, AC_VOLTAGE=1006, AC_FREQUENCY=3000
Time(s),Voltage(V)
0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000409e-06,9.843750000000000000e-01
1.000000000000000082e-05,9.843750000000000000e-01
1.500000000000000207e-05,9.687500000000000000e-01
2.000000000000000164e-05,9.687500000000000000e-01
2.500000000000000120e-05,9.531250000000000000e-01
3.000000000000000415e-05,9.218750000000000000e-01
3.500000000000000371e-05,9.062500000000000000e-01
4.000000000000000327e-05,8.906250000000000000e-01
4.500000000000000283e-05,8.437500000000000000e-01
5.000000000000000240e-05,8.437500000000000000e-01
5.500000000000000196e-05,8.125000000000000000e-01
6.000000000000000830e-05,7.656250000000000000e-01
6.500000000000000786e-05,7.656250000000000000e-01
7.000000000000000742e-05,7.187500000000000000e-01
7.500000000000000698e-05,7.031250000000000000e-01
8.000000000000000654e-05,7.187500000000000000e-01
8.500000000000000611e-05,7.031250000000000000e-01
9.000000000000000567e-05,6.875000000000000000e-01
9.500000000000000523e-05,7.031250000000000000e-01
1.000000000000000048e-04,7.343750000000000000e-01
1.050000000000000044e-04,7.343750000000000000e-01
1.100000000000000039e-04,7.656250000000000000e-01
1.150000000000000035e-04,7.968750000000000000e-01
1.200000000000000166e-04,7.968750000000000000e-01
1.250000000000000026e-04,8.437500000000000000e-01
1.300000000000000157e-04,8.750000000000000000e-01
1.350000000000000017e-04,8.906250000000000000e-01
1.400000000000000148e-04,9.062500000000000000e-01
1.450000000000000009e-04,9.375000000000000000e-01
1.500000000000000140e-04,9.687500000000000000e-01
1.550000000000000000e-04,9.843750000000000000e-01
1.600000000000000131e-04,1.000000000000000000e+00
1.650000000000000262e-04,1.031250000000000000e+00
1.700000000000000122e-04,1.031250000000000000e+00
1.750000000000000253e-04,1.062500000000000000e+00
1.800000000000000113e-04,1.078125000000000000e+00
1.850000000000000245e-04,1.078125000000000000e+00
1.900000000000000105e-04,1.078125000000000000e+00
1.950000000000000236e-04,1.078125000000000000e+00
2.000000000000000096e-04,1.062500000000000000e+00
2.050000000000000227e-04,1.062500000000000000e+00
2.100000000000000087e-04,1.015625000000000000e+00
2.150000000000000218e-04,1.000000000000000000e+00
2.200000000000000078e-04,9.687500000000000000e-01
2.250000000000000209e-04,9.375000000000000000e-01
2.300000000000000070e-04,9.062500000000000000e-01
2.350000000000000201e-04,8.906250000000000000e-01
2.400000000000000332e-04,8.593750000000000000e-01
2.450000000000000463e-04,8.437500000000000000e-01
2.500000000000000052e-04,8.281250000000000000e-01
2.550000000000000183e-04,8.281250000000000000e-01
2.600000000000000314e-04,8.281250000000000000e-01
2.650000000000000445e-04,8.437500000000000000e-01
2.700000000000000035e-04,8.437500000000000000e-01
2.750000000000000166e-04,8.593750000000000000e-01
2.800000000000000297e-04,8.593750000000000000e-01
2.850000000000000428e-04,8.750000000000000000e-01
2.900000000000000017e-04,9.062500000000000000e-01
2.950000000000000148e-04,9.062500000000000000e-01
3.000000000000000279e-04,9.218750000000000000e-01
3.050000000000000410e-04,9.218750000000000000e-01
3.099999999999999999e-04,9.375000000000000000e-01
3.150000000000000131e-04,9.531250000000000000e-01
3.200000000000000262e-04,9.375000000000000000e-01
3.250000000000000393e-04,9.531250000000000000e-01
3.300000000000000524e-04,9.375000000000000000e-01
3.350000000000000113e-04,9.531250000000000000e-01
3.400000000000000244e-04,9.218750000000000000e-01
3.450000000000000375e-04,9.218750000000000000e-01
3.500000000000000507e-04,9.062500000000000000e-01
3.550000000000000096e-04,8.750000000000000000e-01
3.600000000000000227e-04,8.750000000000000000e-01
3.650000000000000358e-04,8.593750000000000000e-01
3.700000000000000489e-04,8.281250000000000000e-01
3.750000000000000078e-04,8.125000000000000000e-01
3.800000000000000209e-04,7.656250000000000000e-01
3.850000000000000340e-04,7.500000000000000000e-01
3.900000000000000471e-04,7.343750000000000000e-01
3.950000000000000061e-04,7.187500000000000000e-01
4.000000000000000192e-04,6.875000000000000000e-01
4.050000000000000323e-04,6.718750000000000000e-01
4.100000000000000454e-04,6.718750000000000000e-01
4.150000000000000585e-04,6.718750000000000000e-01
4.200000000000000174e-04,6.718750000000000000e-01
4.250000000000000305e-04,6.875000000000000000e-01
4.300000000000000436e-04,7.031250000000000000e-01
4.350000000000000568e-04,7.343750000000000000e-01
4.400000000000000157e-04,7.500000000000000000e-01
4.450000000000000288e-04,7.812500000000000000e-01
4.500000000000000419e-04,7.968750000000000000e-01
4.550000000000000550e-04,8.437500000000000000e-01
4.600000000000000139e-04,8.593750000000000000e-01
4.650000000000000270e-04,8.906250000000000000e-01
4.700000000000000401e-04,9.062500000000000000e-01
4.750000000000000533e-04,9.218750000000000000e-01
4.800000000000000664e-04,9.375000000000000000e-01
4.850000000000000253e-04,9.687500000000000000e-01
4.900000000000000926e-04,1.000000000000000000e+00
4.949999999999999973e-04,1.015625000000000000e+00
5.000000000000000104e-04,1.046875000000000000e+00
5.050000000000000235e-04,1.062500000000000000e+00
5.100000000000000366e-04,1.078125000000000000e+00
5.150000000000000498e-04,1.093750000000000000e+00
5.200000000000000629e-04,1.109375000000000000e+00
5.250000000000000760e-04,1.109375000000000000e+00
5.300000000000000891e-04,1.109375000000000000e+00
5.349999999999999938e-04,1.109375000000000000e+00
5.400000000000000069e-04,1.093750000000000000e+00
5.450000000000000200e-04,1.062500000000000000e+00
5.500000000000000331e-04,1.031250000000000000e+00
5.550000000000000462e-04,1.000000000000000000e+00
5.600000000000000594e-04,9.843750000000000000e-01
5.650000000000000725e-04,9.375000000000000000e-01
5.700000000000000856e-04,9.218750000000000000e-01
5.750000000000000987e-04,8.906250000000000000e-01
5.800000000000000034e-04,8.593750000000000000e-01
5.850000000000000165e-04,8.593750000000000000e-01
5.900000000000000296e-04,8.593750000000000000e-01
5.950000000000000427e-04,8.593750000000000000e-01
6.000000000000000559e-04,8.593750000000000000e-01
6.050000000000000690e-04,8.593750000000000000e-01
6.100000000000000821e-04,8.906250000000000000e-01
6.150000000000000952e-04,8.750000000000000000e-01
6.199999999999999999e-04,9.062500000000000000e-01
6.250000000000000130e-04,9.062500000000000000e-01
6.300000000000000261e-04,9.375000000000000000e-01
6.350000000000000392e-04,9.375000000000000000e-01
6.400000000000000524e-04,9.375000000000000000e-01
6.450000000000000655e-04,9.531250000000000000e-01
6.500000000000000786e-04,9.687500000000000000e-01
6.550000000000000917e-04,9.687500000000000000e-01
6.600000000000001048e-04,9.531250000000000000e-01
6.650000000000000095e-04,9.687500000000000000e-01
6.700000000000000226e-04,9.687500000000000000e-01
6.750000000000000357e-04,9.687500000000000000e-01
6.800000000000000488e-04,9.531250000000000000e-01
6.850000000000000620e-04,9.375000000000000000e-01
6.900000000000000751e-04,9.062500000000000000e-01
6.950000000000000882e-04,9.062500000000000000e-01
7.000000000000001013e-04,8.906250000000000000e-01
7.050000000000000060e-04,8.437500000000000000e-01
7.100000000000000191e-04,8.125000000000000000e-01
7.150000000000000322e-04,7.968750000000000000e-01
7.200000000000000453e-04,7.656250000000000000e-01
