PURE SILICA, ELECTRODE=TUNGSTEN, TIME=35, POLING_VOLTAGE=3700, WAVELENGTH=1.55e-06, EFFECTIVE_DISTANCE=3.1e-05, POLED_LENGTH=0.3, CORE_INDEX=1.45, POLE=MAX, AC_VOLTAGE=831.25, AC_FREQUENCY=330, PIEZO_FREQUENCY=6.6
Time(s),Voltage(V)
0.000000000000000000e+00,5.437500000000000666e-02
7.600000000000000418e-05,5.500000000000000722e-02
1.520000000000000084e-04,5.625000000000000833e-02
2.280000000000000126e-04,5.812500000000000305e-02
3.040000000000000167e-04,5.843750000000000333e-02
3.800000000000000209e-04,4.250000000000000305e-02
4.560000000000000251e-04,4.562500000000000583e-02
5.320000000000000293e-04,4.781250000000000777e-02
6.080000000000000335e-04,4.968750000000000250e-02
6.840000000000000377e-04,4.687500000000000000e-02
7.600000000000000418e-04,4.562500000000000583e-02
8.360000000000000460e-04,4.624999999999999944e-02
9.120000000000000502e-04,4.937500000000000222e-02
9.880000000000001628e-04,5.437500000000000666e-02
1.064000000000000059e-03,5.687500000000000888e-02
1.139999999999999954e-03,5.812500000000000305e-02
1.216000000000000067e-03,5.875000000000000361e-02
1.292000000000000180e-03,5.937500000000000416e-02
1.368000000000000075e-03,5.875000000000000361e-02
1.443999999999999971e-03,5.687500000000000888e-02
1.520000000000000084e-03,5.593750000000000111e-02
1.596000000000000196e-03,5.656250000000000167e-02
1.672000000000000092e-03,5.625000000000000833e-02
1.747999999999999988e-03,5.750000000000000250e-02
1.824000000000000100e-03,5.812500000000000305e-02
1.900000000000000213e-03,5.875000000000000361e-02
1.976000000000000326e-03,5.812500000000000305e-02
2.052000000000000005e-03,5.562500000000000777e-02
2.128000000000000117e-03,5.031250000000000305e-02
2.204000000000000230e-03,4.906250000000000194e-02
2.279999999999999909e-03,4.687500000000000000e-02
2.356000000000000021e-03,4.750000000000000056e-02
2.432000000000000134e-03,4.937500000000000222e-02
2.508000000000000246e-03,5.093750000000000361e-02
2.584000000000000359e-03,5.343749999999999889e-02
2.660000000000000038e-03,5.437500000000000666e-02
2.736000000000000151e-03,5.593750000000000111e-02
2.812000000000000263e-03,5.656250000000000167e-02
2.887999999999999942e-03,5.875000000000000361e-02
2.964000000000000055e-03,5.843750000000000333e-02
3.040000000000000167e-03,5.875000000000000361e-02
3.116000000000000280e-03,5.875000000000000361e-02
3.192000000000000393e-03,5.781250000000000278e-02
3.268000000000000071e-03,5.656250000000000167e-02
3.344000000000000184e-03,5.468750000000000000e-02
3.420000000000000297e-03,5.343749999999999889e-02
3.495999999999999976e-03,5.125000000000000389e-02
3.572000000000000088e-03,4.750000000000000056e-02
3.648000000000000201e-03,4.500000000000000527e-02
3.724000000000000313e-03,4.375000000000000416e-02
3.800000000000000426e-03,4.468750000000000500e-02
3.876000000000000105e-03,4.624999999999999944e-02
3.952000000000000651e-03,4.875000000000000167e-02
4.028000000000000330e-03,5.156250000000000416e-02
4.104000000000000009e-03,5.406249999999999944e-02
4.180000000000000555e-03,5.843750000000000333e-02
4.256000000000000234e-03,5.937500000000000416e-02
4.331999999999999913e-03,6.031250000000000500e-02
4.408000000000000460e-03,6.000000000000000472e-02
4.484000000000000138e-03,5.906250000000000389e-02
4.559999999999999817e-03,5.968750000000000444e-02
4.636000000000000364e-03,6.031250000000000500e-02
4.712000000000000043e-03,6.000000000000000472e-02
4.788000000000000589e-03,6.062500000000000527e-02
4.864000000000000268e-03,6.062500000000000527e-02
4.939999999999999947e-03,6.062500000000000527e-02
5.016000000000000493e-03,6.031250000000000500e-02
5.092000000000000172e-03,5.906250000000000389e-02
5.168000000000000718e-03,5.781250000000000278e-02
5.244000000000000397e-03,5.750000000000000250e-02
5.320000000000000076e-03,5.750000000000000250e-02
5.396000000000000622e-03,5.843750000000000333e-02
5.472000000000000301e-03,5.843750000000000333e-02
5.547999999999999980e-03,5.937500000000000416e-02
5.624000000000000526e-03,6.000000000000000472e-02
5.700000000000000205e-03,6.124999999999999889e-02
5.775999999999999884e-03,6.093750000000000555e-02
5.852000000000000431e-03,6.093750000000000555e-02
5.928000000000000110e-03,6.031250000000000500e-02
6.004000000000000656e-03,5.937500000000000416e-02
6.080000000000000335e-03,5.937500000000000416e-02
6.156000000000000014e-03,5.906250000000000389e-02
6.232000000000000560e-03,5.937500000000000416e-02
6.308000000000000239e-03,5.843750000000000333e-02
6.384000000000000785e-03,5.718750000000000222e-02
6.460000000000000464e-03,5.468750000000000000e-02
6.536000000000000143e-03,5.312500000000000555e-02
6.612000000000000689e-03,5.218750000000000472e-02
6.688000000000000368e-03,5.031250000000000305e-02
6.764000000000000047e-03,5.093750000000000361e-02
6.840000000000000593e-03,5.187500000000000444e-02
6.916000000000000272e-03,5.406249999999999944e-02
6.991999999999999951e-03,5.593750000000000111e-02
7.068000000000000498e-03,5.687500000000000888e-02
7.144000000000000176e-03,5.875000000000000361e-02
7.220000000000000723e-03,5.937500000000000416e-02
7.296000000000000402e-03,5.656250000000000167e-02
7.372000000000000081e-03,5.437500000000000666e-02
7.448000000000000627e-03,5.218750000000000472e-02
7.524000000000000306e-03,5.125000000000000389e-02
7.600000000000000852e-03,5.062500000000000333e-02
7.676000000000000531e-03,5.031250000000000305e-02
7.752000000000000210e-03,5.187500000000000444e-02
7.827999999999999889e-03,5.281250000000000527e-02
7.904000000000001303e-03,5.468750000000000000e-02
7.980000000000000981e-03,5.656250000000000167e-02
8.056000000000000660e-03,5.812500000000000305e-02
8.132000000000000339e-03,5.875000000000000361e-02
8.208000000000000018e-03,5.906250000000000389e-02
8.283999999999999697e-03,5.968750000000000444e-02
8.360000000000001111e-03,5.968750000000000444e-02
8.436000000000000790e-03,6.000000000000000472e-02
8.512000000000000469e-03,6.000000000000000472e-02
8.588000000000000148e-03,6.062500000000000527e-02
